URL,Location name,Live thumbnail (ustream only),Notes
http://new.livestream.com/breakinglivenowdirect/sandycam,"Chelsea, Manhattan, NY",,
http://www.ustream.tv/channel/atlantic-city-plugged-in,"Atlantic City, NJ",https://secure-static-cdn1.ustream.tv/livethumb/1_2331793_160x120_b.jpg,
http://www.ustream.tv/channel/dc-hurricane,"Washington, D.C.",,
http://www.ustream.tv/channel/hurricane-sandy,"New York City, NY",https://secure-static-cdn1.ustream.tv/livethumb/1_12420876_160x120_b.jpg,
http://www.ustream.tv/channel/sandy-the-hurricane,"Wallingford, CT",https://secure-static-cdn1.ustream.tv/livethumb/1_12420106_160x120_b.jpg,
http://www.ustream.tv/channel/hurricane-sandy-ac,"Mays Landing, NJ",https://secure-static-cdn1.ustream.tv/livethumb/1_12423918_160x120_b.jpg,
http://www.ustream.tv/channel/live-hurricane-sandy-coverage,"Cape Hatteras, NC",https://secure-static-cdn1.ustream.tv/livethumb/1_12387882_160x120_b.jpg,
http://www.ustream.tv/channel/hurricane-irene-lynn-ma,"Lynn, MA",https://secure-static-cdn1.ustream.tv/livethumb/1_9171900_160x120_b.jpg,
http://www.ustream.tv/recorded/26442316,"Rockaway Park, NY",,
http://www.ustream.tv/channel/media-rebel,"Baltimore, MD",,
http://www.ustream.tv/channel/hurricane-sandy-ac,"Atlantic City, NJ",https://secure-static-cdn1.ustream.tv/livethumb/1_12423918_160x120_b.jpg,
http://www.ustream.tv/channel/hurricane-sandy-brkln-1,"East River, Mid-town Manhattan, NY",https://secure-static-cdn1.ustream.tv/livethumb/1_12423431_160x120_b.jpg,
http://www.ustream.tv/channel/hurricane-sandy-brkln-2,"East River, Lower Manhattan, NY",https://secure-static-cdn1.ustream.tv/livethumb/1_12425101_160x120_b.jpg,
http://www.ustream.tv/channel/hurricane-sandy-live-bronx-ny,"Bronx, NY",https://secure-static-cdn1.ustream.tv/livethumb/1_12423392_160x120_b.jpg,
http://www.justin.tv/atlanticcity911,"Atlantic City, NJ",,
http://www.justin.tv/beefdart,"Ocean City, NJ",,
http://www.justin.tv/joedirtdaman,"Lafayette, NY",,
http://justin.tv/technologee#/w/4066352304/2,"New York City, NY",,
http://www.earthcam.com/usa/newyork/statueofliberty/?cam=liberty_hd,"Liberty Island, NY",,
http://www.earthcam.com/usa/newyork/timessquare/?cam=tsrobo3,"New York City, NY",,
http://www.earthcam.com/usa/newjersey/jerseycity/,"Jersey City, NJ",,
http://www.earthcam.com/usa/newyork/brooklynbridge/,"Brooklyn, NY",,
http://www.earthcam.com/usa/newyork/skyline/,"New York City, NY",,"time-lapse, awesome res"
